"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene_symbol"
"ENSG00000197905",123.155709856918,1.58070827289768,0.251551960891921,6.28382409460456,3.30344476361836e-10,1.15303986603463e-07,"TEAD4"
"ENSG00000122861",310.425146737572,1.81611027799359,0.289630905974029,6.27042984893482,3.60052738961368e-10,1.23951854559427e-07,"PLAU"
"ENSG00000159167",91.9826763386802,2.38188055410092,0.38000134767114,6.26808449153776,3.65516450503514e-10,1.24132350237889e-07,"STC1"
"ENSG00000120708",3234.26328615355,1.94386287421802,0.310383021770478,6.26278738807908,3.78156061416146e-10,1.26712533059322e-07,"TGFBI"
"ENSG00000137692",185.364170094489,1.06779588580187,0.170704002616136,6.25524808696513,3.96884494669229e-10,1.31238213625426e-07,"DCUN1D5"
"ENSG00000158874",2262.2031892329,-5.86777940115805,0.939301417675022,-6.24696108271837,4.18515283388614e-10,1.36593605023887e-07,"APOA2"
"ENSG00000135245",152.176350579904,1.92249197513321,0.30799575088818,6.2419431748303,4.32167968877022e-10,1.39241195203185e-07,"HILPDA"
"ENSG00000146733",122.680796894207,1.15190885901701,0.185367840408254,6.21417855697108,5.15938333757751e-10,1.64127167919823e-07,"PSPH"
"ENSG00000175832",394.631594349792,3.01963962994705,0.487321582868482,6.19640035676809,5.77690726861929e-10,1.81474320709589e-07,"ETV4"
"ENSG00000163191",1693.12941030811,1.46955619684335,0.237243670128401,6.19429043585442,5.85481807673032e-10,1.81651151958407e-07,"S100A11"
"ENSG00000095752",13.0960723789371,4.23810614949509,0.685290388152591,6.18439456143577,6.23412642702468e-10,1.91060769801899e-07,"IL11"
"ENSG00000060566",372.439499328177,-3.71198601359398,0.603465156866255,-6.15111903538892,7.6938144917176e-10,2.32955725290789e-07,"CREB3L3"
"ENSG00000142959",473.602299113086,-4.38398320547148,0.713922021297942,-6.14070315060629,8.2156989608809e-10,2.45796107840355e-07,"BEST4"
"ENSG00000068650",611.134187215922,1.55009481380565,0.252624959234139,6.13595275187745,8.46503152491898e-10,2.50276126179693e-07,"ATP11A"
"ENSG00000054938",60.2875232302488,3.61836440196178,0.590887763630998,6.12360692617321,9.14804146245144e-10,2.67324918596357e-07,"CHRDL2"
"ENSG00000006118",263.615278535659,1.75745954063213,0.287400383316898,6.11502156103355,9.65439095450751e-10,2.78878734572102e-07,"TMEM132A"
"ENSG00000108342",5.309589013738,4.1255236328522,0.676359729415062,6.09959974468038,1.0633438991862e-09,3.03669267391459e-07,"CSF3"
"ENSG00000113140",7689.74167494164,1.88683922125108,0.309760888438637,6.09127650285927,1.12013886560528e-09,3.16294492489059e-07,"SPARC"
"ENSG00000118777",177.419792877261,-2.67049396016556,0.438695223105145,-6.08735591252495,1.14790602182e-09,3.20533624826206e-07,"ABCG2"
